date,drug_code,sales_qty,drug_name,tenant_id
2014-03-27,M01AB,5.65,Anti-inflammatory Acetic Acid,T001
2014-03-28,M01AB,3.9,Anti-inflammatory Acetic Acid,T001
2014-03-29,M01AB,5.22,Anti-inflammatory Acetic Acid,T001
2014-03-30,M01AB,3.95,Anti-inflammatory Acetic Acid,T001
2014-03-31,M01AB,7.43,Anti-inflammatory Acetic Acid,T001
2014-04-01,M01AB,6.56,Anti-inflammatory Acetic Acid,T001
2014-04-02,M01AB,2.86,Anti-inflammatory Acetic Acid,T001
2014-04-03,M01AB,1.4,Anti-inflammatory Acetic Acid,T001
2014-04-04,M01AB,4.24,Anti-inflammatory Acetic Acid,T001
2014-04-05,M01AB,2.66,Anti-inflammatory Acetic Acid,T001
2014-04-06,M01AB,2.62,Anti-inflammatory Acetic Acid,T001
2014-04-07,M01AB,8.11,Anti-inflammatory Acetic Acid,T001
2014-04-08,M01AB,6.61,Anti-inflammatory Acetic Acid,T001
2014-04-09,M01AB,8.31,Anti-inflammatory Acetic Acid,T001
2014-04-10,M01AB,4.72,Anti-inflammatory Acetic Acid,T001
2014-04-11,M01AB,8.09,Anti-inflammatory Acetic Acid,T001
2014-04-12,M01AB,10.11,Anti-inflammatory Acetic Acid,T001
2014-04-13,M01AB,4.34,Anti-inflammatory Acetic Acid,T001
2014-04-14,M01AB,1.88,Anti-inflammatory Acetic Acid,T001
2014-04-15,M01AB,6.45,Anti-inflammatory Acetic Acid,T001
2014-04-16,M01AB,2.87,Anti-inflammatory Acetic Acid,T001
2014-04-17,M01AB,7.19,Anti-inflammatory Acetic Acid,T001
2014-04-18,M01AB,10.67,Anti-inflammatory Acetic Acid,T001
2014-04-19,M01AB,9.39,Anti-inflammatory Acetic Acid,T001
2014-04-20,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-04-21,M01AB,1.9,Anti-inflammatory Acetic Acid,T001
2014-04-22,M01AB,6.79,Anti-inflammatory Acetic Acid,T001
2014-04-23,M01AB,8.23,Anti-inflammatory Acetic Acid,T001
2014-04-24,M01AB,2.83,Anti-inflammatory Acetic Acid,T001
2014-04-25,M01AB,4.41,Anti-inflammatory Acetic Acid,T001
2014-04-26,M01AB,5.62,Anti-inflammatory Acetic Acid,T001
2014-04-27,M01AB,5.77,Anti-inflammatory Acetic Acid,T001
2014-04-28,M01AB,2.02,Anti-inflammatory Acetic Acid,T001
2014-04-29,M01AB,4.85,Anti-inflammatory Acetic Acid,T001
2014-04-30,M01AB,6.22,Anti-inflammatory Acetic Acid,T001
2014-05-01,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-05-02,M01AB,10.88,Anti-inflammatory Acetic Acid,T001
2014-05-03,M01AB,5.67,Anti-inflammatory Acetic Acid,T001
2014-05-04,M01AB,2.51,Anti-inflammatory Acetic Acid,T001
2014-05-05,M01AB,3.9,Anti-inflammatory Acetic Acid,T001
2014-05-06,M01AB,9.57,Anti-inflammatory Acetic Acid,T001
2014-05-07,M01AB,4.64,Anti-inflammatory Acetic Acid,T001
2014-05-08,M01AB,2.83,Anti-inflammatory Acetic Acid,T001
2014-05-09,M01AB,3.04,Anti-inflammatory Acetic Acid,T001
2014-05-10,M01AB,7.37,Anti-inflammatory Acetic Acid,T001
2014-05-11,M01AB,2.73,Anti-inflammatory Acetic Acid,T001
2014-05-12,M01AB,6.58,Anti-inflammatory Acetic Acid,T001
2014-05-13,M01AB,5.43,Anti-inflammatory Acetic Acid,T001
2014-05-14,M01AB,1.3,Anti-inflammatory Acetic Acid,T001
2014-05-15,M01AB,3.44,Anti-inflammatory Acetic Acid,T001
2014-05-16,M01AB,7.89,Anti-inflammatory Acetic Acid,T001
2014-05-17,M01AB,3.21,Anti-inflammatory Acetic Acid,T001
2014-05-18,M01AB,4.74,Anti-inflammatory Acetic Acid,T001
2014-05-19,M01AB,12.47,Anti-inflammatory Acetic Acid,T001
2014-05-20,M01AB,1.3,Anti-inflammatory Acetic Acid,T001
2014-05-21,M01AB,2.72,Anti-inflammatory Acetic Acid,T001
2014-05-22,M01AB,4.84,Anti-inflammatory Acetic Acid,T001
2014-05-23,M01AB,7.17,Anti-inflammatory Acetic Acid,T001
2014-05-24,M01AB,4.25,Anti-inflammatory Acetic Acid,T001
2014-05-25,M01AB,2.81,Anti-inflammatory Acetic Acid,T001
2014-05-26,M01AB,4.05,Anti-inflammatory Acetic Acid,T001
2014-05-27,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-05-28,M01AB,1.91,Anti-inflammatory Acetic Acid,T001
2014-05-29,M01AB,5.49,Anti-inflammatory Acetic Acid,T001
2014-05-30,M01AB,4.54,Anti-inflammatory Acetic Acid,T001
2014-05-31,M01AB,8.7,Anti-inflammatory Acetic Acid,T001
2014-06-01,M01AB,1.46,Anti-inflammatory Acetic Acid,T001
2014-06-02,M01AB,5.1,Anti-inflammatory Acetic Acid,T001
2014-06-03,M01AB,3.96,Anti-inflammatory Acetic Acid,T001
2014-06-04,M01AB,1.41,Anti-inflammatory Acetic Acid,T001
2014-06-05,M01AB,0.43,Anti-inflammatory Acetic Acid,T001
2014-06-06,M01AB,6.98,Anti-inflammatory Acetic Acid,T001
2014-06-07,M01AB,12.06,Anti-inflammatory Acetic Acid,T001
2014-06-08,M01AB,1.4,Anti-inflammatory Acetic Acid,T001
2014-06-09,M01AB,8.65,Anti-inflammatory Acetic Acid,T001
2014-06-10,M01AB,12.43,Anti-inflammatory Acetic Acid,T001
2014-06-11,M01AB,5.68,Anti-inflammatory Acetic Acid,T001
2014-06-12,M01AB,6.22,Anti-inflammatory Acetic Acid,T001
2014-06-13,M01AB,1.33,Anti-inflammatory Acetic Acid,T001
2014-06-14,M01AB,5.19,Anti-inflammatory Acetic Acid,T001
2014-06-15,M01AB,0.49,Anti-inflammatory Acetic Acid,T001
2014-06-16,M01AB,5.74,Anti-inflammatory Acetic Acid,T001
2014-06-17,M01AB,7.32,Anti-inflammatory Acetic Acid,T001
2014-06-18,M01AB,2.7,Anti-inflammatory Acetic Acid,T001
2014-06-19,M01AB,4.02,Anti-inflammatory Acetic Acid,T001
2014-06-20,M01AB,11.09,Anti-inflammatory Acetic Acid,T001
2014-06-21,M01AB,9.19,Anti-inflammatory Acetic Acid,T001
2014-06-22,M01AB,5.61,Anti-inflammatory Acetic Acid,T001
2014-06-23,M01AB,3.01,Anti-inflammatory Acetic Acid,T001
2014-06-24,M01AB,4.55,Anti-inflammatory Acetic Acid,T001
2014-06-25,M01AB,12.3,Anti-inflammatory Acetic Acid,T001
2014-06-26,M01AB,4.08,Anti-inflammatory Acetic Acid,T001
2014-06-27,M01AB,6.04,Anti-inflammatory Acetic Acid,T001
2014-06-28,M01AB,0.51,Anti-inflammatory Acetic Acid,T001
2014-06-29,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-06-30,M01AB,8.85,Anti-inflammatory Acetic Acid,T001
2014-07-01,M01AB,6.68,Anti-inflammatory Acetic Acid,T001
2014-07-02,M01AB,3.83,Anti-inflammatory Acetic Acid,T001
2014-07-03,M01AB,3.04,Anti-inflammatory Acetic Acid,T001
2014-07-04,M01AB,5.76,Anti-inflammatory Acetic Acid,T001
2014-07-05,M01AB,5.08,Anti-inflammatory Acetic Acid,T001
2014-07-06,M01AB,6.11,Anti-inflammatory Acetic Acid,T001
2014-07-07,M01AB,2.62,Anti-inflammatory Acetic Acid,T001
2014-07-08,M01AB,8.54,Anti-inflammatory Acetic Acid,T001
2014-07-09,M01AB,3.8,Anti-inflammatory Acetic Acid,T001
2014-07-10,M01AB,3.24,Anti-inflammatory Acetic Acid,T001
2014-07-11,M01AB,2.7,Anti-inflammatory Acetic Acid,T001
2014-07-12,M01AB,10.75,Anti-inflammatory Acetic Acid,T001
2014-07-13,M01AB,2.58,Anti-inflammatory Acetic Acid,T001
2014-07-14,M01AB,6.98,Anti-inflammatory Acetic Acid,T001
2014-07-15,M01AB,4.23,Anti-inflammatory Acetic Acid,T001
2014-07-16,M01AB,5.88,Anti-inflammatory Acetic Acid,T001
2014-07-17,M01AB,2.65,Anti-inflammatory Acetic Acid,T001
2014-07-18,M01AB,12.07,Anti-inflammatory Acetic Acid,T001
2014-07-19,M01AB,10.8,Anti-inflammatory Acetic Acid,T001
2014-07-20,M01AB,4.61,Anti-inflammatory Acetic Acid,T001
2014-07-21,M01AB,4.01,Anti-inflammatory Acetic Acid,T001
2014-07-22,M01AB,7.49,Anti-inflammatory Acetic Acid,T001
2014-07-23,M01AB,3.95,Anti-inflammatory Acetic Acid,T001
2014-07-24,M01AB,7.91,Anti-inflammatory Acetic Acid,T001
2014-07-25,M01AB,7.27,Anti-inflammatory Acetic Acid,T001
2014-07-26,M01AB,5.11,Anti-inflammatory Acetic Acid,T001
2014-07-27,M01AB,4.48,Anti-inflammatory Acetic Acid,T001
2014-07-28,M01AB,2.94,Anti-inflammatory Acetic Acid,T001
2014-07-29,M01AB,3.05,Anti-inflammatory Acetic Acid,T001
2014-07-30,M01AB,0.99,Anti-inflammatory Acetic Acid,T001
2014-07-31,M01AB,4.48,Anti-inflammatory Acetic Acid,T001
2014-08-01,M01AB,2.71,Anti-inflammatory Acetic Acid,T001
2014-08-02,M01AB,7.23,Anti-inflammatory Acetic Acid,T001
2014-08-03,M01AB,6.89,Anti-inflammatory Acetic Acid,T001
2014-08-04,M01AB,5.47,Anti-inflammatory Acetic Acid,T001
2014-08-05,M01AB,2.58,Anti-inflammatory Acetic Acid,T001
2014-08-06,M01AB,8.57,Anti-inflammatory Acetic Acid,T001
2014-08-07,M01AB,5.06,Anti-inflammatory Acetic Acid,T001
2014-08-08,M01AB,7.48,Anti-inflammatory Acetic Acid,T001
2014-08-09,M01AB,5.39,Anti-inflammatory Acetic Acid,T001
2014-08-10,M01AB,5.21,Anti-inflammatory Acetic Acid,T001
2014-08-11,M01AB,11.87,Anti-inflammatory Acetic Acid,T001
2014-08-12,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-08-13,M01AB,1.8,Anti-inflammatory Acetic Acid,T001
2014-08-14,M01AB,5.77,Anti-inflammatory Acetic Acid,T001
2014-08-15,M01AB,5.58,Anti-inflammatory Acetic Acid,T001
2014-08-16,M01AB,10.65,Anti-inflammatory Acetic Acid,T001
2014-08-17,M01AB,0.48,Anti-inflammatory Acetic Acid,T001
2014-08-18,M01AB,5.48,Anti-inflammatory Acetic Acid,T001
2014-08-19,M01AB,15.77,Anti-inflammatory Acetic Acid,T001
2014-08-20,M01AB,6.81,Anti-inflammatory Acetic Acid,T001
2014-08-21,M01AB,3.9,Anti-inflammatory Acetic Acid,T001
2014-08-22,M01AB,9.75,Anti-inflammatory Acetic Acid,T001
2014-08-23,M01AB,4.36,Anti-inflammatory Acetic Acid,T001
2014-08-24,M01AB,4.61,Anti-inflammatory Acetic Acid,T001
2014-08-25,M01AB,5.88,Anti-inflammatory Acetic Acid,T001
2014-08-26,M01AB,3.26,Anti-inflammatory Acetic Acid,T001
2014-08-27,M01AB,4.49,Anti-inflammatory Acetic Acid,T001
2014-08-28,M01AB,3.08,Anti-inflammatory Acetic Acid,T001
2014-08-29,M01AB,8.29,Anti-inflammatory Acetic Acid,T001
2014-08-30,M01AB,4.86,Anti-inflammatory Acetic Acid,T001
2014-08-31,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-09-01,M01AB,4.31,Anti-inflammatory Acetic Acid,T001
2014-09-02,M01AB,3.19,Anti-inflammatory Acetic Acid,T001
2014-09-03,M01AB,9.04,Anti-inflammatory Acetic Acid,T001
2014-09-04,M01AB,7.49,Anti-inflammatory Acetic Acid,T001
2014-09-05,M01AB,5.62,Anti-inflammatory Acetic Acid,T001
2014-09-06,M01AB,7.14,Anti-inflammatory Acetic Acid,T001
2014-09-07,M01AB,2.85,Anti-inflammatory Acetic Acid,T001
2014-09-08,M01AB,1.44,Anti-inflammatory Acetic Acid,T001
2014-09-09,M01AB,8.63,Anti-inflammatory Acetic Acid,T001
2014-09-10,M01AB,6.52,Anti-inflammatory Acetic Acid,T001
2014-09-11,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-09-12,M01AB,3.57,Anti-inflammatory Acetic Acid,T001
2014-09-13,M01AB,4.26,Anti-inflammatory Acetic Acid,T001
2014-09-14,M01AB,2.0,Anti-inflammatory Acetic Acid,T001
2014-09-15,M01AB,2.02,Anti-inflammatory Acetic Acid,T001
2014-09-16,M01AB,5.18,Anti-inflammatory Acetic Acid,T001
2014-09-17,M01AB,3.29,Anti-inflammatory Acetic Acid,T001
2014-09-18,M01AB,3.98,Anti-inflammatory Acetic Acid,T001
2014-09-19,M01AB,2.56,Anti-inflammatory Acetic Acid,T001
2014-09-20,M01AB,5.79,Anti-inflammatory Acetic Acid,T001
2014-09-21,M01AB,1.43,Anti-inflammatory Acetic Acid,T001
2014-09-22,M01AB,5.05,Anti-inflammatory Acetic Acid,T001
2014-09-23,M01AB,4.54,Anti-inflammatory Acetic Acid,T001
2014-09-24,M01AB,7.89,Anti-inflammatory Acetic Acid,T001
2014-09-25,M01AB,6.2,Anti-inflammatory Acetic Acid,T001
2014-09-26,M01AB,6.14,Anti-inflammatory Acetic Acid,T001
2014-09-27,M01AB,5.52,Anti-inflammatory Acetic Acid,T001
2014-09-28,M01AB,0.5,Anti-inflammatory Acetic Acid,T001
2014-09-29,M01AB,9.18,Anti-inflammatory Acetic Acid,T001
2014-09-30,M01AB,13.05,Anti-inflammatory Acetic Acid,T001
2014-10-01,M01AB,3.12,Anti-inflammatory Acetic Acid,T001
2014-10-02,M01AB,3.03,Anti-inflammatory Acetic Acid,T001
2014-10-03,M01AB,6.17,Anti-inflammatory Acetic Acid,T001
2014-10-04,M01AB,7.09,Anti-inflammatory Acetic Acid,T001
2014-10-05,M01AB,3.08,Anti-inflammatory Acetic Acid,T001
2014-10-06,M01AB,7.52,Anti-inflammatory Acetic Acid,T001
2014-10-07,M01AB,4.35,Anti-inflammatory Acetic Acid,T001
2014-10-08,M01AB,5.13,Anti-inflammatory Acetic Acid,T001
2014-10-09,M01AB,1.42,Anti-inflammatory Acetic Acid,T001
2014-10-10,M01AB,5.99,Anti-inflammatory Acetic Acid,T001
2014-10-11,M01AB,4.27,Anti-inflammatory Acetic Acid,T001
2014-10-12,M01AB,3.85,Anti-inflammatory Acetic Acid,T001
2014-10-13,M01AB,2.55,Anti-inflammatory Acetic Acid,T001
2014-10-14,M01AB,3.99,Anti-inflammatory Acetic Acid,T001
2014-10-15,M01AB,1.89,Anti-inflammatory Acetic Acid,T001
2014-10-16,M01AB,8.96,Anti-inflammatory Acetic Acid,T001
2014-10-17,M01AB,4.4,Anti-inflammatory Acetic Acid,T001
2014-10-18,M01AB,5.78,Anti-inflammatory Acetic Acid,T001
2014-10-19,M01AB,5.0,Anti-inflammatory Acetic Acid,T001
2014-10-20,M01AB,4.43,Anti-inflammatory Acetic Acid,T001
2014-10-21,M01AB,3.39,Anti-inflammatory Acetic Acid,T001
2014-10-22,M01AB,5.0,Anti-inflammatory Acetic Acid,T001
2014-10-23,M01AB,2.05,Anti-inflammatory Acetic Acid,T001
2014-10-24,M01AB,5.11,Anti-inflammatory Acetic Acid,T001
2014-10-25,M01AB,3.01,Anti-inflammatory Acetic Acid,T001
2014-10-26,M01AB,4.25,Anti-inflammatory Acetic Acid,T001
2014-10-27,M01AB,11.0,Anti-inflammatory Acetic Acid,T001
2014-10-28,M01AB,5.56,Anti-inflammatory Acetic Acid,T001
2014-10-29,M01AB,6.48,Anti-inflammatory Acetic Acid,T001
2014-10-30,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-10-31,M01AB,2.8,Anti-inflammatory Acetic Acid,T001
2014-11-01,M01AB,3.33,Anti-inflammatory Acetic Acid,T001
2014-11-02,M01AB,5.14,Anti-inflammatory Acetic Acid,T001
2014-11-03,M01AB,9.91,Anti-inflammatory Acetic Acid,T001
2014-11-04,M01AB,8.49,Anti-inflammatory Acetic Acid,T001
2014-11-05,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-11-06,M01AB,8.21,Anti-inflammatory Acetic Acid,T001
2014-11-07,M01AB,8.44,Anti-inflammatory Acetic Acid,T001
2014-11-08,M01AB,17.41,Anti-inflammatory Acetic Acid,T001
2014-11-09,M01AB,4.9,Anti-inflammatory Acetic Acid,T001
2014-11-10,M01AB,1.42,Anti-inflammatory Acetic Acid,T001
2014-11-11,M01AB,10.44,Anti-inflammatory Acetic Acid,T001
2014-11-12,M01AB,3.85,Anti-inflammatory Acetic Acid,T001
2014-11-13,M01AB,10.45,Anti-inflammatory Acetic Acid,T001
2014-11-14,M01AB,8.22,Anti-inflammatory Acetic Acid,T001
2014-11-15,M01AB,6.55,Anti-inflammatory Acetic Acid,T001
2014-11-16,M01AB,2.63,Anti-inflammatory Acetic Acid,T001
2014-11-17,M01AB,11.56,Anti-inflammatory Acetic Acid,T001
2014-11-18,M01AB,3.87,Anti-inflammatory Acetic Acid,T001
2014-11-19,M01AB,1.7,Anti-inflammatory Acetic Acid,T001
2014-11-20,M01AB,5.2,Anti-inflammatory Acetic Acid,T001
2014-11-21,M01AB,1.98,Anti-inflammatory Acetic Acid,T001
2014-11-22,M01AB,8.76,Anti-inflammatory Acetic Acid,T001
2014-11-23,M01AB,5.34,Anti-inflammatory Acetic Acid,T001
2014-11-24,M01AB,5.57,Anti-inflammatory Acetic Acid,T001
2014-11-25,M01AB,7.9,Anti-inflammatory Acetic Acid,T001
2014-11-26,M01AB,4.02,Anti-inflammatory Acetic Acid,T001
2014-11-27,M01AB,9.52,Anti-inflammatory Acetic Acid,T001
2014-11-28,M01AB,4.61,Anti-inflammatory Acetic Acid,T001
2014-11-29,M01AB,3.82,Anti-inflammatory Acetic Acid,T001
2014-11-30,M01AB,7.33,Anti-inflammatory Acetic Acid,T001
2014-12-01,M01AB,5.87,Anti-inflammatory Acetic Acid,T001
2014-12-02,M01AB,9.39,Anti-inflammatory Acetic Acid,T001
2014-12-03,M01AB,5.45,Anti-inflammatory Acetic Acid,T001
2014-12-04,M01AB,3.93,Anti-inflammatory Acetic Acid,T001
2014-12-05,M01AB,2.73,Anti-inflammatory Acetic Acid,T001
2014-12-06,M01AB,4.8,Anti-inflammatory Acetic Acid,T001
2014-12-07,M01AB,6.63,Anti-inflammatory Acetic Acid,T001
2014-12-08,M01AB,1.53,Anti-inflammatory Acetic Acid,T001
2014-12-09,M01AB,1.31,Anti-inflammatory Acetic Acid,T001
2014-12-10,M01AB,5.13,Anti-inflammatory Acetic Acid,T001
2014-12-11,M01AB,3.01,Anti-inflammatory Acetic Acid,T001
2014-12-12,M01AB,9.67,Anti-inflammatory Acetic Acid,T001
2014-12-13,M01AB,1.36,Anti-inflammatory Acetic Acid,T001
2014-12-14,M01AB,13.58,Anti-inflammatory Acetic Acid,T001
2014-12-15,M01AB,7.28,Anti-inflammatory Acetic Acid,T001
2014-12-16,M01AB,7.99,Anti-inflammatory Acetic Acid,T001
2014-12-17,M01AB,4.24,Anti-inflammatory Acetic Acid,T001
2014-12-18,M01AB,7.34,Anti-inflammatory Acetic Acid,T001
2014-12-19,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-12-20,M01AB,1.5,Anti-inflammatory Acetic Acid,T001
2014-12-21,M01AB,6.49,Anti-inflammatory Acetic Acid,T001
2014-12-22,M01AB,4.35,Anti-inflammatory Acetic Acid,T001
2014-12-23,M01AB,15.43,Anti-inflammatory Acetic Acid,T001
2014-12-24,M01AB,1.45,Anti-inflammatory Acetic Acid,T001
2014-12-25,M01AB,11.64,Anti-inflammatory Acetic Acid,T001
2014-12-26,M01AB,4.52,Anti-inflammatory Acetic Acid,T001
2014-12-27,M01AB,10.13,Anti-inflammatory Acetic Acid,T001
2014-12-28,M01AB,3.36,Anti-inflammatory Acetic Acid,T001
2014-12-29,M01AB,3.26,Anti-inflammatory Acetic Acid,T001
2014-12-30,M01AB,12.67,Anti-inflammatory Acetic Acid,T001
2014-12-31,M01AB,7.8,Anti-inflammatory Acetic Acid,T001
2015-01-01,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2015-01-02,M01AB,8.39,Anti-inflammatory Acetic Acid,T001
2015-01-03,M01AB,12.62,Anti-inflammatory Acetic Acid,T001
2015-01-04,M01AB,6.71,Anti-inflammatory Acetic Acid,T001
2015-01-05,M01AB,3.16,Anti-inflammatory Acetic Acid,T001
2015-01-06,M01AB,4.46,Anti-inflammatory Acetic Acid,T001
2015-01-07,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2015-01-08,M01AB,3.04,Anti-inflammatory Acetic Acid,T001
2015-01-09,M01AB,4.35,Anti-inflammatory Acetic Acid,T001
2015-01-10,M01AB,8.45,Anti-inflammatory Acetic Acid,T001
2015-01-11,M01AB,4.41,Anti-inflammatory Acetic Acid,T001
2015-01-12,M01AB,3.04,Anti-inflammatory Acetic Acid,T001
2015-01-13,M01AB,13.42,Anti-inflammatory Acetic Acid,T001
2015-01-14,M01AB,4.34,Anti-inflammatory Acetic Acid,T001
2015-01-15,M01AB,9.73,Anti-inflammatory Acetic Acid,T001
2015-01-16,M01AB,8.5,Anti-inflammatory Acetic Acid,T001
2015-01-17,M01AB,8.94,Anti-inflammatory Acetic Acid,T001
2015-01-18,M01AB,5.51,Anti-inflammatory Acetic Acid,T001
2015-01-19,M01AB,6.81,Anti-inflammatory Acetic Acid,T001
2015-01-20,M01AB,6.01,Anti-inflammatory Acetic Acid,T001
2015-01-21,M01AB,5.29,Anti-inflammatory Acetic Acid,T001
2015-01-22,M01AB,6.1,Anti-inflammatory Acetic Acid,T001
2015-01-23,M01AB,5.2,Anti-inflammatory Acetic Acid,T001
