tenant_id,item_id,vendor_id,current_stock,min_required,max_capacity,avg_usage_per_day,restock_lead_time,days_until_stockout,stock_status,needs_reorder,inventory_date
T001,3,2,5645,295,2985,431,29,13.097447795823665,Warning,False,2024-12-02
T001,4,3,4708,260,4363,448,25,10.508928571428571,Warning,False,2024-12-03
T001,4,3,4838,165,5600,486,26,9.954732510288066,Warning,False,2024-12-04
T001,4,3,5093,753,2058,443,21,11.496613995485328,Warning,False,2024-12-05
T001,1,3,6821,805,1872,139,15,49.07194244604317,Safe,False,2024-12-06
T001,3,2,1434,39,4578,634,1,2.2618296529968456,Safe,False,2024-12-07
T001,5,2,1788,136,5626,639,15,2.7981220657276995,Warning,False,2024-12-08
T001,3,1,6475,82,1409,397,4,16.309823677581864,Safe,False,2024-12-09
T001,1,1,3685,85,1729,405,23,9.098765432098766,Warning,False,2024-12-10
T001,3,2,6940,107,4741,599,16,11.585976627712855,Warning,False,2024-12-11
T001,1,3,2159,216,978,223,9,9.681614349775785,Safe,False,2024-12-12
T001,3,1,5344,560,2310,217,4,24.62672811059908,Safe,False,2024-12-13
T001,3,1,1686,277,1252,446,5,3.780269058295964,Warning,False,2024-12-14
T001,4,3,2395,468,5750,327,21,7.324159021406728,Warning,False,2024-12-15
T001,2,1,2400,768,527,346,15,6.936416184971098,Warning,False,2024-12-16
T001,3,2,4862,867,892,660,29,7.366666666666666,Warning,False,2024-12-17
T001,5,2,328,42,4319,541,5,0.6062846580406654,Warning,False,2024-12-18
T001,2,1,5365,700,5827,567,28,9.462081128747796,Warning,False,2024-12-19
T001,5,2,3203,50,715,335,18,9.561194029850746,Warning,False,2024-12-20
T001,3,1,6873,208,3379,524,28,13.116412213740459,Warning,False,2024-12-21
T001,1,1,3941,296,3730,54,20,72.98148148148148,Safe,False,2024-12-22
T001,3,2,2416,672,3408,570,25,4.23859649122807,Warning,False,2024-12-23
T001,4,2,480,133,4482,351,25,1.3675213675213675,Warning,False,2024-12-24
T001,1,2,5741,597,3745,574,4,10.001742160278745,Safe,False,2024-12-25
T001,5,1,3378,301,4856,80,19,42.225,Safe,False,2024-12-26
T001,3,2,6279,478,5480,653,2,9.615620214395099,Safe,False,2024-12-27
T001,3,3,5502,974,5246,176,13,31.261363636363637,Safe,False,2024-12-28
T001,1,1,2008,585,5992,5,21,401.6,Safe,False,2024-12-29
T001,3,1,5781,782,563,16,8,361.3125,Safe,False,2024-12-30
T001,2,3,5487,699,4870,524,23,10.471374045801527,Warning,False,2024-12-31
T001,5,3,1576,894,4056,150,13,10.506666666666666,Warning,False,2025-01-01
T001,3,1,3847,167,2748,254,25,15.145669291338583,Warning,False,2025-01-02
T001,3,3,5384,713,4715,190,16,28.33684210526316,Safe,False,2025-01-03
T001,1,2,966,839,2862,477,1,2.0251572327044025,Safe,False,2025-01-04
T001,4,2,5321,613,4285,572,2,9.302447552447552,Safe,False,2025-01-05
T001,5,1,5858,633,3969,414,14,14.14975845410628,Safe,False,2025-01-06
T001,2,1,2178,221,5265,347,2,6.276657060518732,Safe,False,2025-01-07
T001,2,2,340,370,3138,74,4,4.594594594594595,Critical,True,2025-01-08
T001,1,1,1674,100,577,74,8,22.62162162162162,Safe,False,2025-01-09
T001,2,2,3902,548,4514,151,25,25.841059602649008,Safe,False,2025-01-10
T001,4,3,6128,595,5296,464,5,13.206896551724139,Safe,False,2025-01-11
T001,3,3,1953,956,1088,270,7,7.233333333333333,Safe,False,2025-01-12
T001,5,3,1981,233,5849,254,28,7.799212598425197,Warning,False,2025-01-13
T001,3,1,3545,872,4241,435,27,8.149425287356323,Warning,False,2025-01-14
T001,1,3,1960,795,4671,652,3,3.0061349693251533,Safe,False,2025-01-15
T001,3,2,3797,721,2525,364,14,10.43131868131868,Warning,False,2025-01-16
T001,4,2,2922,834,2405,595,7,4.9109243697478995,Warning,False,2025-01-17
T001,2,2,748,813,2444,42,16,17.80952380952381,Critical,True,2025-01-18
T001,5,2,3149,211,4399,462,26,6.816017316017316,Warning,False,2025-01-19
T001,4,2,3108,742,5268,111,17,28.0,Safe,False,2025-01-20
T001,1,3,3052,825,992,205,17,14.887804878048781,Warning,False,2025-01-21
T001,5,2,195,58,5874,567,19,0.3439153439153439,Warning,False,2025-01-22
T001,3,3,1120,385,4292,564,10,1.9858156028368794,Warning,False,2025-01-23
T001,1,2,4529,977,5606,528,26,8.577651515151516,Warning,False,2025-01-24
T001,3,1,287,639,4192,34,1,8.441176470588236,Critical,True,2025-01-25
T001,4,3,2222,589,1638,47,16,47.276595744680854,Safe,False,2025-01-26
T001,4,1,3308,645,4607,142,22,23.295774647887324,Safe,False,2025-01-27
T001,1,3,5965,721,2819,597,17,9.991624790619765,Warning,False,2025-01-28
T001,2,3,2692,328,5901,485,11,5.550515463917526,Warning,False,2025-01-29
T001,1,1,6357,978,5385,618,5,10.28640776699029,Safe,False,2025-01-30
T001,2,2,3283,303,2698,207,8,15.859903381642512,Safe,False,2025-01-31
T001,1,2,5078,15,1262,300,24,16.926666666666666,Warning,False,2025-02-01
T001,1,2,146,619,2383,8,18,18.25,Critical,True,2025-02-02
T001,5,2,1912,65,4704,325,9,5.883076923076923,Warning,False,2025-02-03
T001,2,3,4547,486,5052,585,7,7.772649572649573,Safe,False,2025-02-04
T001,2,2,97,440,1359,554,14,0.17509025270758122,Critical,True,2025-02-05
T001,4,3,1480,48,5072,612,6,2.418300653594771,Warning,False,2025-02-06
T001,3,3,5363,571,3291,323,18,16.603715170278637,Warning,False,2025-02-07
T001,4,3,6818,274,4699,53,6,128.64150943396226,Safe,False,2025-02-08
T001,2,1,361,644,599,520,5,0.6942307692307692,Critical,True,2025-02-09
T001,5,1,3856,203,4989,427,3,9.030444964871194,Safe,False,2025-02-10
T001,2,2,3196,332,1386,279,23,11.455197132616487,Warning,False,2025-02-11
T001,3,3,3072,72,1320,100,29,30.72,Safe,False,2025-02-12
T001,3,2,3326,26,3871,309,27,10.763754045307444,Warning,False,2025-02-13
T001,1,1,2052,199,3397,670,18,3.062686567164179,Warning,False,2025-02-14
T001,5,1,6966,204,2318,587,28,11.867120954003408,Warning,False,2025-02-15
T001,4,1,2708,277,1962,39,2,69.43589743589743,Safe,False,2025-02-16
T001,5,3,1740,425,1855,540,28,3.2222222222222223,Warning,False,2025-02-17
T001,1,1,2682,404,3520,263,8,10.197718631178708,Safe,False,2025-02-18
T001,2,1,213,30,2817,50,14,4.26,Warning,False,2025-02-19
T001,3,2,2349,110,1468,184,26,12.766304347826088,Warning,False,2025-02-20
T001,2,2,3088,792,732,629,6,4.909379968203497,Warning,False,2025-02-21
T001,2,2,1340,642,3717,216,5,6.203703703703703,Safe,False,2025-02-22
T001,1,2,197,62,5790,232,27,0.8491379310344828,Warning,False,2025-02-23
T001,4,1,2647,465,3872,57,18,46.43859649122807,Safe,False,2025-02-24
T001,2,1,6621,679,3798,626,16,10.57667731629393,Warning,False,2025-02-25
T001,3,3,2096,911,2239,385,22,5.444155844155844,Warning,False,2025-02-26
T001,3,1,4155,280,3403,517,8,8.036750483558993,Safe,False,2025-02-27
T001,4,2,1606,636,5434,247,9,6.502024291497976,Warning,False,2025-02-28
T001,4,3,2702,760,4130,417,19,6.479616306954436,Warning,False,2025-03-01
T001,1,3,6000,985,543,161,21,37.267080745341616,Safe,False,2025-03-02
T001,5,1,3979,829,1077,231,26,17.225108225108226,Warning,False,2025-03-03
T001,3,1,1819,42,3522,336,8,5.413690476190476,Warning,False,2025-03-04
T001,2,3,5529,417,4953,562,3,9.838078291814947,Safe,False,2025-03-05
T001,1,3,6810,771,2669,117,9,58.205128205128204,Safe,False,2025-03-06
T001,4,3,5109,869,5795,78,19,65.5,Safe,False,2025-03-07
T001,2,1,1509,784,3744,674,18,2.2388724035608307,Warning,False,2025-03-08
T001,5,2,2472,723,3325,32,9,77.25,Safe,False,2025-03-09
T001,4,3,5545,130,1015,169,8,32.81065088757396,Safe,False,2025-03-10
T001,5,1,3396,75,1917,439,2,7.735763097949886,Safe,False,2025-03-11
T001,5,3,4736,85,4719,88,4,53.81818181818182,Safe,False,2025-03-12
T001,3,1,841,865,3055,543,27,1.5488029465930018,Critical,True,2025-03-13
T001,3,1,539,518,5654,269,22,2.003717472118959,Warning,False,2025-03-14
T001,5,1,5557,720,4050,93,16,59.75268817204301,Safe,False,2025-03-15
T001,3,1,5503,818,5914,275,25,20.01090909090909,Warning,False,2025-03-16
T001,4,3,997,710,2754,649,18,1.5362095531587057,Warning,False,2025-03-17
T001,5,2,1807,46,3410,282,20,6.407801418439717,Warning,False,2025-03-18
T001,5,3,1186,918,4006,522,26,2.2720306513409962,Warning,False,2025-03-19
T001,1,3,2591,941,641,274,2,9.456204379562044,Safe,False,2025-03-20
T001,1,2,4924,72,1355,572,11,8.608391608391608,Warning,False,2025-03-21
T001,1,1,4187,463,1305,225,19,18.608888888888888,Warning,False,2025-03-22
T001,1,2,4157,840,4433,593,8,7.010118043844857,Warning,False,2025-03-23
T001,2,3,5382,452,4321,342,12,15.736842105263158,Safe,False,2025-03-24
T001,1,1,427,598,3918,140,6,3.05,Critical,True,2025-03-25
T001,4,3,1939,540,582,335,27,5.7880597014925375,Warning,False,2025-03-26
T001,2,1,2234,394,4554,174,9,12.839080459770114,Safe,False,2025-03-27
T001,4,3,2418,11,5114,359,6,6.735376044568246,Safe,False,2025-03-28
T001,1,1,5881,734,2110,103,20,57.09708737864078,Safe,False,2025-03-29
T001,5,3,640,727,3061,579,3,1.1053540587219344,Critical,True,2025-03-30
T001,2,1,2003,612,4029,72,22,27.819444444444443,Safe,False,2025-03-31
T001,5,2,2325,122,4772,284,5,8.18661971830986,Safe,False,2025-04-01
T001,4,3,2743,117,754,482,25,5.690871369294606,Warning,False,2025-04-02
T001,4,2,6017,159,5767,489,2,12.304703476482617,Safe,False,2025-04-03
T001,2,1,4843,600,3381,238,1,20.34873949579832,Safe,False,2025-04-04
T001,4,1,4575,279,2535,267,25,17.134831460674157,Warning,False,2025-04-05
T001,2,2,5893,77,2264,662,14,8.901812688821753,Warning,False,2025-04-06
T001,4,1,2261,883,1431,66,16,34.25757575757576,Safe,False,2025-04-07
T001,5,1,4260,411,2813,571,25,7.4605954465849385,Warning,False,2025-04-08
T001,3,1,6500,271,5341,50,5,130.0,Safe,False,2025-04-09
T001,1,2,3444,36,513,525,1,6.56,Safe,False,2025-04-10
T001,1,3,5949,713,5033,340,5,17.49705882352941,Safe,False,2025-04-11
T001,3,3,4745,421,5580,672,29,7.061011904761905,Warning,False,2025-04-12
T001,3,3,507,759,1278,275,19,1.8436363636363637,Critical,True,2025-04-13
T001,2,1,1907,947,4717,54,24,35.31481481481482,Safe,False,2025-04-14
T001,4,1,592,535,1823,300,21,1.9733333333333334,Warning,False,2025-04-15
T001,5,2,1236,823,4185,319,5,3.8746081504702192,Warning,False,2025-04-16
T001,1,2,2972,442,4764,258,6,11.51937984496124,Safe,False,2025-04-17
T001,3,2,5732,578,1768,235,15,24.391489361702128,Safe,False,2025-04-18
T001,3,2,4225,68,5379,621,23,6.8035426731078905,Warning,False,2025-04-19
T001,3,1,6010,27,1538,404,16,14.876237623762377,Warning,False,2025-04-20
T001,4,2,1397,224,3017,217,20,6.43778801843318,Warning,False,2025-04-21
T001,5,2,3576,873,500,521,13,6.863723608445298,Warning,False,2025-04-22
T001,3,2,5869,995,5911,320,8,18.340625,Safe,False,2025-04-23
T001,5,3,5853,230,3970,238,1,24.592436974789916,Safe,False,2025-04-24
T001,1,1,3230,215,2298,220,26,14.681818181818182,Warning,False,2025-04-25
T001,2,2,1715,401,1100,404,21,4.2450495049504955,Warning,False,2025-04-26
T001,2,1,3023,292,4074,404,21,7.482673267326732,Warning,False,2025-04-27
T001,1,2,1757,283,5623,493,27,3.563894523326572,Warning,False,2025-04-28
T001,2,3,6538,718,1848,274,6,23.861313868613138,Safe,False,2025-04-29
T001,3,3,6513,565,1625,576,11,11.307291666666666,Safe,False,2025-04-30
T001,4,1,3091,441,2447,342,25,9.038011695906432,Warning,False,2025-05-01
T001,2,2,1021,744,5222,315,12,3.2412698412698413,Warning,False,2025-05-02
T001,1,3,1831,135,2525,63,22,29.063492063492063,Safe,False,2025-05-03
T001,4,2,2731,358,925,659,29,4.144157814871017,Warning,False,2025-05-04
T001,1,2,4252,515,5377,626,7,6.792332268370607,Warning,False,2025-05-05
T001,3,3,902,850,1637,148,2,6.094594594594595,Safe,False,2025-05-06
T001,1,3,2150,708,2949,296,21,7.263513513513513,Warning,False,2025-05-07
T001,3,3,211,805,862,143,14,1.4755244755244756,Critical,True,2025-05-08
T001,2,1,3464,16,1470,55,16,62.981818181818184,Safe,False,2025-05-09
T001,4,1,6062,913,4919,147,16,41.23809523809524,Safe,False,2025-05-10
T001,5,1,2985,703,5903,498,12,5.993975903614458,Warning,False,2025-05-11
T001,4,1,1450,897,4528,455,22,3.1868131868131866,Warning,False,2025-05-12
T001,5,3,802,514,5251,578,4,1.3875432525951557,Warning,False,2025-05-13
T001,2,3,3805,36,1246,471,10,8.07855626326964,Warning,False,2025-05-14
T001,1,3,4565,645,4262,606,23,7.533003300330033,Warning,False,2025-05-15
T001,3,2,3441,725,840,86,25,40.01162790697674,Safe,False,2025-05-16
T001,3,3,5622,815,1064,61,24,92.1639344262295,Safe,False,2025-05-17
T001,3,3,4619,103,2445,516,5,8.9515503875969,Safe,False,2025-05-18
T001,2,3,5732,443,4768,177,29,32.38418079096045,Safe,False,2025-05-19
T001,2,3,5729,542,4677,31,27,184.80645161290323,Safe,False,2025-05-20
T001,5,3,6625,487,1145,514,24,12.88910505836576,Warning,False,2025-05-21
T001,4,1,4565,897,1211,552,25,8.269927536231885,Warning,False,2025-05-22
T001,4,1,6804,450,4851,579,18,11.751295336787564,Warning,False,2025-05-23
T001,1,3,5015,967,3921,459,21,10.925925925925926,Warning,False,2025-05-24
T001,5,2,3991,449,606,301,6,13.259136212624584,Safe,False,2025-05-25
T001,2,2,3452,742,1254,624,22,5.532051282051282,Warning,False,2025-05-26
T001,2,2,2234,161,2127,529,15,4.223062381852552,Warning,False,2025-05-27
T001,3,2,1148,707,5780,286,20,4.013986013986014,Warning,False,2025-05-28
T001,5,3,2031,659,1437,308,9,6.5941558441558445,Warning,False,2025-05-29
T001,5,2,175,650,3782,418,4,0.41866028708133973,Critical,True,2025-05-30
T001,2,1,2822,624,5009,431,6,6.547563805104408,Safe,False,2025-05-31
T001,5,2,4442,413,4582,559,4,7.946332737030412,Safe,False,2025-06-01
T001,3,2,5683,465,5984,288,21,19.73263888888889,Warning,False,2025-06-02
T001,3,2,5796,60,3197,12,7,483.0,Safe,False,2025-06-03
T001,2,2,5271,560,4650,620,2,8.501612903225807,Safe,False,2025-06-04
T001,2,1,3318,973,3452,402,26,8.253731343283581,Warning,False,2025-06-05
T001,5,2,5499,774,2709,566,10,9.715547703180212,Warning,False,2025-06-06
T001,5,1,6168,424,1029,236,13,26.135593220338983,Safe,False,2025-06-07
T001,4,2,1351,559,5093,602,24,2.244186046511628,Warning,False,2025-06-08
T001,5,1,6635,962,2979,275,23,24.12727272727273,Safe,False,2025-06-09
T001,5,3,4572,904,4100,343,6,13.329446064139942,Safe,False,2025-06-10
T001,1,1,3472,655,3634,271,3,12.811808118081181,Safe,False,2025-06-11
T001,2,1,1000,69,5435,159,26,6.289308176100629,Warning,False,2025-06-12
T001,5,2,1877,986,4594,421,28,4.458432304038005,Warning,False,2025-06-13
T001,1,1,280,484,1610,634,15,0.4416403785488959,Critical,True,2025-06-14
T001,5,1,5172,455,3055,331,20,15.625377643504532,Warning,False,2025-06-15
T001,2,1,1810,809,1789,93,6,19.462365591397848,Safe,False,2025-06-16
T001,4,2,6703,976,4514,410,27,16.348780487804877,Warning,False,2025-06-17
T001,3,3,2293,355,5248,11,25,208.45454545454547,Safe,False,2025-06-18
T001,2,3,3419,213,5708,336,29,10.175595238095237,Warning,False,2025-06-19
T001,2,2,4221,667,1897,423,29,9.97872340425532,Warning,False,2025-06-20
T001,1,3,3518,41,2954,116,4,30.32758620689655,Safe,False,2025-06-21
T001,1,2,1127,681,3105,117,16,9.632478632478632,Warning,False,2025-06-22
T001,1,2,5298,94,2325,441,2,12.013605442176871,Safe,False,2025-06-23
T001,4,1,5261,100,1202,27,26,194.85185185185185,Safe,False,2025-06-24
T001,1,2,1921,49,3385,232,23,8.280172413793103,Warning,False,2025-06-25
T001,2,3,3966,767,5233,441,11,8.993197278911564,Warning,False,2025-06-26
T001,1,2,504,188,5696,477,8,1.0566037735849056,Warning,False,2025-06-27
T001,5,1,3769,596,1181,483,9,7.803312629399586,Warning,False,2025-06-28
T001,5,1,5478,304,2944,463,18,11.831533477321814,Warning,False,2025-06-29
T001,3,3,491,590,4281,489,26,1.0040899795501022,Critical,True,2025-06-30
T001,5,3,2829,389,2269,375,8,7.544,Warning,False,2025-07-01
T001,3,3,1945,561,3237,331,20,5.876132930513595,Warning,False,2025-07-02
T001,5,1,2820,137,4405,189,8,14.920634920634921,Safe,False,2025-07-03
T001,4,2,1719,217,2942,232,10,7.4094827586206895,Warning,False,2025-07-04
T001,3,2,5256,23,4794,92,21,57.130434782608695,Safe,False,2025-07-05
T001,5,1,3818,173,2655,304,2,12.55921052631579,Safe,False,2025-07-06
T001,3,2,6691,496,5318,559,18,11.9695885509839,Warning,False,2025-07-07
T001,3,2,652,901,5223,548,25,1.1897810218978102,Critical,True,2025-07-08
T001,5,2,2621,405,5050,284,29,9.22887323943662,Warning,False,2025-07-09
T001,2,1,4829,369,3482,440,11,10.975,Warning,False,2025-07-10
T001,1,2,5939,341,5310,324,13,18.330246913580247,Safe,False,2025-07-11
T001,3,3,2485,832,4339,643,16,3.864696734059098,Warning,False,2025-07-12
T001,3,1,788,430,4955,348,3,2.264367816091954,Warning,False,2025-07-13
T001,3,1,5074,92,2332,219,1,23.168949771689498,Safe,False,2025-07-14
T001,1,2,3448,213,540,574,25,6.006968641114983,Warning,False,2025-07-15
T001,3,3,4536,701,4690,491,22,9.238289205702648,Warning,False,2025-07-16
T001,3,1,3601,172,4591,140,6,25.72142857142857,Safe,False,2025-07-17
T001,5,2,1525,964,2646,338,20,4.511834319526627,Warning,False,2025-07-18
T001,2,1,1786,90,5167,232,1,7.698275862068965,Safe,False,2025-07-19
T001,4,1,5321,550,3149,70,18,76.01428571428572,Safe,False,2025-07-20
T001,4,1,218,403,2447,656,24,0.3323170731707317,Critical,True,2025-07-21
T001,1,3,6163,879,1196,474,15,13.00210970464135,Warning,False,2025-07-22
T001,4,3,2334,18,5550,630,21,3.704761904761905,Warning,False,2025-07-23
T001,2,3,4631,155,1811,593,27,7.809443507588533,Warning,False,2025-07-24
T001,4,3,4388,762,3364,626,5,7.0095846645367414,Safe,False,2025-07-25
T001,2,3,673,246,2674,342,5,1.9678362573099415,Warning,False,2025-07-26
T001,2,3,1176,230,4983,416,13,2.826923076923077,Warning,False,2025-07-27
T001,5,2,6325,675,4916,580,13,10.905172413793103,Warning,False,2025-07-28
T001,4,3,2895,360,5099,315,5,9.19047619047619,Safe,False,2025-07-29
T001,3,3,5505,133,2203,473,16,11.638477801268499,Warning,False,2025-07-30
T001,1,1,4824,111,5632,180,6,26.8,Safe,False,2025-07-31
T001,3,1,5617,709,3400,250,23,22.468,Warning,False,2025-08-01
T001,4,3,1232,389,4031,585,25,2.105982905982906,Warning,False,2025-08-02
T001,4,3,5496,69,4966,509,14,10.797642436149312,Warning,False,2025-08-03
T001,3,1,5562,196,5539,663,21,8.389140271493213,Warning,False,2025-08-04
T001,5,1,3178,284,4909,547,21,5.809872029250457,Warning,False,2025-08-05
T001,4,1,1079,534,2697,369,27,2.924119241192412,Warning,False,2025-08-06
T001,5,1,3273,907,4448,73,29,44.83561643835616,Safe,False,2025-08-07
T001,1,1,347,293,1024,634,8,0.5473186119873817,Warning,False,2025-08-08
T001,4,1,437,532,1157,263,15,1.661596958174905,Critical,True,2025-08-09
T001,3,1,4976,973,2147,547,24,9.09689213893967,Warning,False,2025-08-10
T001,5,2,5912,967,2997,667,21,8.863568215892053,Warning,False,2025-08-11
T001,1,3,3487,794,1817,595,6,5.860504201680672,Warning,False,2025-08-12
T001,2,3,727,293,1291,552,8,1.3170289855072463,Warning,False,2025-08-13
T001,1,1,2671,646,5505,405,5,6.595061728395062,Safe,False,2025-08-14
T001,5,3,1733,784,636,460,16,3.767391304347826,Warning,False,2025-08-15
T001,4,1,468,522,2758,321,10,1.4579439252336448,Critical,True,2025-08-16
T001,4,2,1428,17,4353,259,6,5.513513513513513,Warning,False,2025-08-17
T001,2,2,2223,675,3962,22,26,101.04545454545455,Safe,False,2025-08-18
T001,5,3,3527,77,911,478,2,7.378661087866109,Safe,False,2025-08-19
T001,4,2,2531,837,3737,379,21,6.678100263852243,Warning,False,2025-08-20
T001,4,1,5739,770,919,466,1,12.315450643776824,Safe,False,2025-08-21
T001,5,2,2225,382,4238,487,2,4.568788501026694,Safe,False,2025-08-22
T001,1,1,225,521,1472,124,20,1.814516129032258,Critical,True,2025-08-23
T001,3,3,2561,430,2849,429,10,5.96969696969697,Warning,False,2025-08-24
T001,1,1,6636,438,4420,178,3,37.28089887640449,Safe,False,2025-08-25
T001,5,3,6950,735,3886,545,17,12.752293577981652,Warning,False,2025-08-26
T001,1,3,2843,635,3314,190,24,14.963157894736842,Warning,False,2025-08-27
T001,4,1,3623,768,1246,155,27,23.374193548387098,Warning,False,2025-08-28
T001,5,3,5844,521,1468,406,19,14.394088669950738,Warning,False,2025-08-29
T001,4,3,2628,210,3012,447,26,5.879194630872483,Warning,False,2025-08-30
T001,4,2,503,633,3817,532,27,0.9454887218045113,Critical,True,2025-08-31
T001,4,2,5482,176,3441,259,11,21.166023166023166,Safe,False,2025-09-01
T001,1,1,4887,948,5566,644,17,7.588509316770186,Warning,False,2025-09-02
T001,3,1,5510,686,2435,505,18,10.910891089108912,Warning,False,2025-09-03
T001,2,3,6080,78,986,236,9,25.76271186440678,Safe,False,2025-09-04
T001,3,2,248,101,5452,302,29,0.8211920529801324,Warning,False,2025-09-05
T001,2,3,309,791,3380,637,18,0.4850863422291994,Critical,True,2025-09-06
T001,5,1,1620,663,4558,537,27,3.016759776536313,Warning,False,2025-09-07
T001,3,1,5891,947,3464,94,18,62.670212765957444,Safe,False,2025-09-08
T001,2,2,4654,338,5603,235,6,19.804255319148936,Safe,False,2025-09-09
T001,4,3,1810,656,3747,660,10,2.742424242424242,Warning,False,2025-09-10
T001,5,2,6839,360,2994,184,7,37.16847826086956,Safe,False,2025-09-11
T001,3,1,4147,150,4949,402,13,10.31592039800995,Warning,False,2025-09-12
T001,1,1,6037,620,3596,150,7,40.24666666666667,Safe,False,2025-09-13
