Date,Expense_Category,Amount,Description,tenant_id,nama_rs,kelas_rs,expense_level
2024-10-29,Supplies,23323.24,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-10-30,Staffing,21502.22,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-10-31,Equipment,7586.92,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-11-01,Equipment,4502.72,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-11-02,Equipment,13734.46,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-11-03,Equipment,58263.81,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-04,Equipment,18447.0,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-11-05,Staffing,15099.71,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-11-06,Supplies,67244.03,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-11-07,Supplies,9300.48,Ventilators,T001,RSUD dr. Soetomo,A,Low
2024-11-08,Equipment,21747.1,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-11-09,Equipment,57221.43,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-10,Equipment,44842.67,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-11,Supplies,6177.02,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-11-12,Equipment,65266.89,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-11-13,Supplies,20479.35,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-11-14,Staffing,28148.6,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-11-15,Supplies,40902.22,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-11-16,Equipment,41188.67,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-11-17,Staffing,19519.65,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-11-18,Supplies,54327.07,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-11-19,Equipment,24560.44,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-11-20,Equipment,52747.04,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-21,Supplies,11594.66,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-11-22,Supplies,30128.63,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-11-23,Equipment,3133.03,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-11-24,Staffing,26788.87,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-11-25,Staffing,2607.11,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-11-26,Equipment,55838.09,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-11-27,Staffing,19853.76,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-11-28,Equipment,54990.85,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-29,Staffing,56044.83,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-11-30,Supplies,6993.9,Ventilators,T001,RSUD dr. Soetomo,A,Low
2024-12-01,Staffing,36905.72,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-12-02,Equipment,9200.93,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-12-03,Equipment,68465.39,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-12-04,Supplies,51896.03,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-12-05,Supplies,9667.83,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-12-06,Supplies,36317.12,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-12-07,Supplies,69413.62,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-08,Staffing,57282.58,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-12-09,Supplies,51405.55,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-10,Supplies,61568.19,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-11,Supplies,67299.2,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-12,Supplies,45697.44,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-13,Equipment,35469.03,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-14,Staffing,21450.58,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-12-15,Supplies,16676.62,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-12-16,Equipment,16625.1,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-12-17,Staffing,32172.49,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-12-18,Staffing,31040.23,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-12-19,Supplies,63102.52,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-20,Supplies,45647.97,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-21,Staffing,5060.41,Ventilators,T001,RSUD dr. Soetomo,A,Low
2024-12-22,Equipment,5178.96,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-12-23,Supplies,44760.77,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-12-24,Supplies,4690.27,Ventilators,T001,RSUD dr. Soetomo,A,Low
2024-12-25,Staffing,64215.13,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-12-26,Supplies,7292.8,Ventilators,T001,RSUD dr. Soetomo,A,Low
2024-12-27,Equipment,5300.78,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-12-28,Supplies,51365.48,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-12-29,Staffing,33752.95,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-12-30,Supplies,14293.08,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-12-31,Staffing,25457.15,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-01,Supplies,42122.78,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-02,Supplies,5348.73,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-01-03,Equipment,56023.9,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-04,Staffing,2546.77,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-01-05,Staffing,31627.01,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-01-06,Supplies,45826.42,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-01-07,Supplies,61739.55,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-01-08,Supplies,30383.28,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-09,Staffing,30285.7,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-01-10,Supplies,29873.58,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-11,Supplies,66597.4,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-01-12,Equipment,42042.34,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-01-13,Staffing,21387.37,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-01-14,Supplies,27367.54,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-01-15,Staffing,25560.21,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-16,Supplies,14348.24,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-01-17,Staffing,36586.75,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-01-18,Staffing,38007.28,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-19,Supplies,9658.04,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-01-20,Staffing,27367.55,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-01-21,Staffing,42299.77,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-22,Equipment,30719.85,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-01-23,Staffing,58035.99,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-24,Equipment,68856.69,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-01-25,Supplies,18256.6,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-01-26,Supplies,16531.31,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-01-27,Supplies,21353.35,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-28,Staffing,60710.23,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-01-29,Staffing,65810.72,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-01-30,Staffing,31232.66,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-01-31,Supplies,59280.09,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-01,Equipment,24483.91,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-02-02,Equipment,62246.23,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-02-03,Equipment,22098.16,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-04,Supplies,24883.64,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-02-05,Equipment,60173.93,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-02-06,Equipment,29505.41,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-02-07,Equipment,55139.55,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-08,Supplies,66926.69,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-02-09,Staffing,4688.92,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-02-10,Equipment,48108.2,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-02-11,Equipment,17062.81,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-12,Staffing,8654.65,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-02-13,Staffing,24840.89,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-02-14,Supplies,30491.43,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-02-15,Staffing,18554.79,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-16,Supplies,24094.42,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-02-17,Equipment,21138.03,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-02-18,Equipment,27090.66,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-19,Supplies,17660.08,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-20,Supplies,36362.21,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-02-21,Equipment,19819.46,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-02-22,Staffing,43274.87,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-02-23,Equipment,19275.35,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-02-24,Supplies,52199.7,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-25,Equipment,40526.09,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-26,Staffing,60918.07,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-27,Staffing,67035.99,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-02-28,Supplies,47988.5,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-01,Staffing,2533.69,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-03-02,Equipment,39853.51,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-03,Supplies,47638.39,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-03-04,Staffing,38915.52,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-05,Supplies,64567.83,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-06,Staffing,5756.66,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-03-07,Supplies,29227.07,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-03-08,Staffing,41370.69,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-09,Supplies,38347.05,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-10,Supplies,36654.44,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-03-11,Staffing,29443.92,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-03-12,Supplies,30911.85,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-03-13,Staffing,41776.67,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-14,Supplies,35349.17,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-15,Staffing,55026.86,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-03-16,Supplies,20743.02,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-03-17,Staffing,3523.3,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-03-18,Staffing,61374.74,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-19,Equipment,60639.53,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-20,Equipment,12211.5,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-03-21,Supplies,4133.14,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-03-22,Supplies,28991.09,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-03-23,Equipment,37486.82,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-03-24,Staffing,14910.18,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-03-25,Supplies,31664.33,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-03-26,Staffing,13671.97,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-03-27,Staffing,40896.16,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-03-28,Supplies,32948.09,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-03-29,Supplies,7590.97,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-03-30,Staffing,18944.02,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-03-31,Staffing,51655.77,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-01,Supplies,57812.29,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-02,Supplies,20487.73,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-04-03,Staffing,34819.39,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-04-04,Staffing,10158.29,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-04-05,Staffing,56438.27,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-06,Supplies,11486.26,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-04-07,Staffing,45332.36,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-04-08,Supplies,45850.8,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-09,Equipment,18255.51,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-04-10,Staffing,31379.38,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-04-11,Staffing,6904.34,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-04-12,Supplies,29659.01,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-04-13,Supplies,14340.1,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-04-14,Equipment,68596.67,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-15,Supplies,39281.86,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-16,Equipment,14745.74,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-04-17,Staffing,55593.06,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-18,Staffing,40837.57,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-19,Supplies,47877.8,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-20,Supplies,62563.38,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-21,Equipment,48975.65,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-22,Supplies,15096.98,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-04-23,Staffing,66873.63,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-24,Staffing,60283.24,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-04-25,Supplies,35816.63,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-04-26,Staffing,45329.7,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-27,Staffing,51735.71,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-04-28,Staffing,58018.39,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-04-29,Staffing,15093.46,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-04-30,Supplies,35281.71,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-01,Supplies,46435.89,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-05-02,Supplies,69194.62,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-03,Equipment,14057.29,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-05-04,Staffing,10617.71,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-05-05,Supplies,5736.53,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-05-06,Staffing,7859.59,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-05-07,Staffing,59958.99,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-08,Supplies,3568.6,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-05-09,Supplies,56651.04,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-10,Supplies,9260.17,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-05-11,Supplies,17761.2,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-05-12,Equipment,42032.62,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-13,Supplies,57256.25,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-14,Equipment,62691.1,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-05-15,Equipment,61864.82,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-16,Staffing,6223.41,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-05-17,Equipment,6826.67,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-05-18,Staffing,32813.52,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-05-19,Equipment,46574.36,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-05-20,Supplies,63187.38,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-21,Staffing,5357.28,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-05-22,Staffing,26123.41,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-05-23,Supplies,63526.81,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-05-24,Staffing,54548.26,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-25,Equipment,57685.47,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-26,Staffing,17558.52,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-05-27,Staffing,48272.85,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-28,Staffing,41944.88,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-05-29,Equipment,45844.58,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-05-30,Equipment,26091.13,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-05-31,Supplies,30936.84,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-06-01,Equipment,61969.11,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-06-02,Equipment,24182.16,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-06-03,Supplies,48817.94,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-06-04,Staffing,33168.13,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-06-05,Equipment,28245.18,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-06-06,Staffing,38082.35,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-07,Supplies,32755.39,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-06-08,Equipment,5165.47,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-06-09,Staffing,9126.05,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-06-10,Supplies,48463.45,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-11,Equipment,54499.7,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-12,Equipment,43620.77,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-13,Equipment,30644.46,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-06-14,Equipment,50490.3,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-15,Supplies,53009.25,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-16,Equipment,61579.8,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-17,Staffing,28072.91,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-06-18,Equipment,14964.54,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-06-19,Equipment,16504.82,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-06-20,Staffing,46292.99,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-21,Equipment,37808.13,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-22,Supplies,52758.93,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-23,Equipment,6331.5,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-06-24,Supplies,27843.68,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-06-25,Supplies,48378.99,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-06-26,Equipment,52239.94,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-06-27,Equipment,27181.32,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-06-28,Equipment,3433.35,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-06-29,Supplies,11145.81,Ventilators,T001,RSUD dr. Soetomo,A,Low
2025-06-30,Staffing,1628.07,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-07-01,Supplies,5361.16,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-07-02,Equipment,49663.67,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-03,Equipment,29344.24,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-04,Staffing,44047.26,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-07-05,Supplies,27255.17,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-07-06,Equipment,46567.36,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-07,Supplies,64381.73,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-08,Staffing,35702.24,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-09,Staffing,13727.55,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-07-10,Supplies,57751.57,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-11,Supplies,16825.89,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-07-12,Staffing,2387.49,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-07-13,Supplies,24432.62,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-14,Supplies,51052.2,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-07-15,Supplies,23724.06,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-16,Staffing,69316.76,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-07-17,Equipment,36081.96,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-07-18,Equipment,6375.53,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2025-07-19,Supplies,22507.79,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-20,Staffing,22518.44,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-21,Supplies,39014.65,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-22,Equipment,7059.92,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2025-07-23,Equipment,66558.86,Surgical masks,T001,RSUD dr. Soetomo,A,High
2025-07-24,Supplies,29860.49,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-25,Supplies,67061.39,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-07-26,Supplies,65884.13,Ventilators,T001,RSUD dr. Soetomo,A,High
2025-07-27,Equipment,20028.29,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-07-28,Staffing,21472.61,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2025-07-29,Equipment,45041.35,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2025-07-30,Staffing,27794.3,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2025-07-31,Staffing,24082.48,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2025-08-01,Supplies,46065.01,Surgical masks,T001,RSUD dr. Soetomo,A,High
