Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Needs_Reorder,Days_Until_Stockout,Inventory_Value,Stock_Status,tenant_id,nama_rs,kelas_rs
2025-02-27,100,Equipment,IV Drip,4155,280,3403,4687.32,517,8,V001,False,8.036750483558993,19475814.599999998,Safe,T001,RSUD dr. Soetomo,A
2025-02-28,104,Equipment,Gloves,1606,636,5434,2216.52,247,9,V002,False,6.502024291497976,3559731.12,Warning,T001,RSUD dr. Soetomo,A
2025-03-01,103,Consumable,Gloves,2702,760,4130,5585.01,417,19,V003,False,6.479616306954436,15090697.020000001,Warning,T001,RSUD dr. Soetomo,A
2025-03-02,106,Consumable,Ventilator,6000,985,543,11055.04,161,21,V003,False,37.267080745341616,66330240.00000001,Safe,T001,RSUD dr. Soetomo,A
2025-03-03,109,Consumable,X-ray Machine,3979,829,1077,9049.9,231,26,V001,False,17.225108225108226,36009552.1,Warning,T001,RSUD dr. Soetomo,A
2025-03-04,108,Consumable,IV Drip,1819,42,3522,8807.99,336,8,V001,False,5.413690476190476,16021733.81,Warning,T001,RSUD dr. Soetomo,A
2025-03-05,100,Consumable,Surgical Mask,5529,417,4953,13084.14,562,3,V003,False,9.838078291814947,72342210.06,Safe,T001,RSUD dr. Soetomo,A
2025-03-06,108,Consumable,Ventilator,6810,771,2669,18329.75,117,9,V003,False,58.205128205128204,124825597.5,Safe,T001,RSUD dr. Soetomo,A
2025-03-07,105,Equipment,Gloves,5109,869,5795,3717.66,78,19,V003,False,65.5,18993524.939999998,Safe,T001,RSUD dr. Soetomo,A
2025-03-08,109,Equipment,Surgical Mask,1509,784,3744,6971.8,674,18,V001,False,2.2388724035608307,10520446.200000001,Warning,T001,RSUD dr. Soetomo,A
2025-03-09,100,Consumable,X-ray Machine,2472,723,3325,7703.61,32,9,V002,False,77.25,19043323.919999998,Safe,T001,RSUD dr. Soetomo,A
2025-03-10,109,Equipment,Gloves,5545,130,1015,3067.83,169,8,V003,False,32.81065088757396,17011117.349999998,Safe,T001,RSUD dr. Soetomo,A
2025-03-11,106,Consumable,X-ray Machine,3396,75,1917,17810.15,439,2,V001,False,7.735763097949886,60483269.400000006,Safe,T001,RSUD dr. Soetomo,A
2025-03-12,105,Consumable,X-ray Machine,4736,85,4719,18648.9,88,4,V003,False,53.81818181818182,88321190.4,Safe,T001,RSUD dr. Soetomo,A
2025-03-13,103,Equipment,IV Drip,841,865,3055,19984.16,543,27,V001,True,1.5488029465930018,16806678.56,Critical,T001,RSUD dr. Soetomo,A
2025-03-14,101,Consumable,IV Drip,539,518,5654,4744.54,269,22,V001,False,2.003717472118959,2557307.06,Warning,T001,RSUD dr. Soetomo,A
2025-03-15,108,Equipment,X-ray Machine,5557,720,4050,1435.5,93,16,V001,False,59.75268817204301,7977073.5,Safe,T001,RSUD dr. Soetomo,A
2025-03-16,100,Consumable,IV Drip,5503,818,5914,2967.9,275,25,V001,False,20.01090909090909,16332353.700000001,Warning,T001,RSUD dr. Soetomo,A
2025-03-17,104,Consumable,Gloves,997,710,2754,16417.4,649,18,V003,False,1.5362095531587057,16368147.8,Warning,T001,RSUD dr. Soetomo,A
2025-03-18,109,Consumable,X-ray Machine,1807,46,3410,18593.6,282,20,V002,False,6.407801418439717,33598635.199999996,Warning,T001,RSUD dr. Soetomo,A
2025-03-19,106,Consumable,X-ray Machine,1186,918,4006,7118.28,522,26,V003,False,2.2720306513409962,8442280.08,Warning,T001,RSUD dr. Soetomo,A
2025-03-20,105,Equipment,Ventilator,2591,941,641,19249.94,274,2,V003,False,9.456204379562044,49876594.54,Safe,T001,RSUD dr. Soetomo,A
2025-03-21,107,Consumable,Ventilator,4924,72,1355,15939.13,572,11,V002,False,8.608391608391608,78484276.11999999,Warning,T001,RSUD dr. Soetomo,A
2025-03-22,108,Consumable,Ventilator,4187,463,1305,7070.18,225,19,V001,False,18.608888888888888,29602843.66,Warning,T001,RSUD dr. Soetomo,A
2025-03-23,108,Equipment,Ventilator,4157,840,4433,17019.13,593,8,V002,False,7.010118043844857,70748523.41000001,Warning,T001,RSUD dr. Soetomo,A
