tenant_id,drug_code,sales_date,sales_qty
T001,M01AB,2014-05-26,2.68
T001,M01AB,2014-05-27,0.0
T001,M01AB,2014-05-28,1.34
T001,M01AB,2014-05-29,4.0
T001,M01AB,2014-05-30,3.02
T001,M01AB,2014-05-31,5.67
T001,M01AB,2014-06-01,1.0
T001,M01AB,2014-06-02,4.0
T001,M01AB,2014-06-03,3.0
T001,M01AB,2014-06-04,1.0
T001,M01AB,2014-06-05,0.34
T001,M01AB,2014-06-06,5.0
T001,M01AB,2014-06-07,9.0
T001,M01AB,2014-06-08,1.0
T001,M01AB,2014-06-09,6.33
T001,M01AB,2014-06-10,8.68
T001,M01AB,2014-06-11,4.34
T001,M01AB,2014-06-12,4.34
T001,M01AB,2014-06-13,1.0
T001,M01AB,2014-06-14,4.0
T001,M01AB,2014-06-15,0.34
T001,M01AB,2014-06-16,4.34
T001,M01AB,2014-06-17,5.0
T001,M01AB,2014-06-18,2.0
T001,M01AB,2014-06-19,3.0
T001,M01AB,2014-06-20,7.34
T001,M01AB,2014-06-21,6.0
T001,M01AB,2014-06-22,4.0
T001,M01AB,2014-06-23,2.34
T001,M01AB,2014-06-24,3.0
T001,M01AB,2014-06-25,8.0
T001,M01AB,2014-06-26,3.0
T001,M01AB,2014-06-27,4.34
T001,M01AB,2014-06-28,0.34
T001,M01AB,2014-06-29,0.0
T001,M01AB,2014-06-30,6.0
T001,M01AB,2014-07-01,4.34
T001,M01AB,2014-07-02,3.0
T001,M01AB,2014-07-03,2.33
T001,M01AB,2014-07-04,4.34
T001,M01AB,2014-07-05,3.34
T001,M01AB,2014-07-06,4.0
T001,M01AB,2014-07-07,2.0
T001,M01AB,2014-07-08,6.34
T001,M01AB,2014-07-09,3.0
T001,M01AB,2014-07-10,2.33
T001,M01AB,2014-07-11,2.0
T001,M01AB,2014-07-12,8.34
T001,M01AB,2014-07-13,2.0
T001,M01AB,2014-07-14,5.0
T001,M01AB,2014-07-15,3.34
T001,M01AB,2014-07-16,4.0
T001,M01AB,2014-07-17,2.0
T001,M01AB,2014-07-18,9.0
T001,M01AB,2014-07-19,7.33
T001,M01AB,2014-07-20,3.0
T001,M01AB,2014-07-21,3.0
T001,M01AB,2014-07-22,5.0
T001,M01AB,2014-07-23,2.67
T001,M01AB,2014-07-24,5.34
T001,M01AB,2014-07-25,5.0
T001,M01AB,2014-07-26,4.0
T001,M01AB,2014-07-27,3.0
T001,M01AB,2014-07-28,2.0
T001,M01AB,2014-07-29,2.34
T001,M01AB,2014-07-30,0.68
T001,M01AB,2014-07-31,3.0
T001,M01AB,2014-08-01,2.0
T001,M01AB,2014-08-02,5.0
T001,M01AB,2014-08-03,5.0
T001,M01AB,2014-08-04,4.0
T001,M01AB,2014-08-05,2.0
T001,M01AB,2014-08-06,6.0
T001,M01AB,2014-08-07,3.34
T001,M01AB,2014-08-08,5.02
T001,M01AB,2014-08-09,4.0
T001,M01AB,2014-08-10,4.0
T001,M01AB,2014-08-11,8.0
T001,M01AB,2014-08-12,0.0
T001,M01AB,2014-08-13,1.34
T001,M01AB,2014-08-14,4.0
T001,M01AB,2014-08-15,4.34
T001,M01AB,2014-08-16,8.0
T001,M01AB,2014-08-17,0.34
T001,M01AB,2014-08-18,4.34
T001,M01AB,2014-08-19,11.34
T001,M01AB,2014-08-20,5.34
T001,M01AB,2014-08-21,3.0
T001,M01AB,2014-08-22,6.34
T001,M01AB,2014-08-23,3.0
T001,M01AB,2014-08-24,3.0
T001,M01AB,2014-08-25,4.01
T001,M01AB,2014-08-26,2.34
T001,M01AB,2014-08-27,3.34
T001,M01AB,2014-08-28,2.34
T001,M01AB,2014-08-29,6.34
T001,M01AB,2014-08-30,3.68
T001,M01AB,2014-08-31,0.0
T001,M01AB,2014-09-01,3.34
T001,M01AB,2014-09-02,2.34
T001,M01AB,2014-09-03,7.0
T001,M01AB,2014-09-04,5.68
T001,M01AB,2014-09-05,4.0
T001,M01AB,2014-09-06,5.34
T001,M01AB,2014-09-07,2.0
T001,M01AB,2014-09-08,1.0
T001,M01AB,2014-09-09,6.34
T001,M01AB,2014-09-10,4.34
T001,M01AB,2014-09-11,0.0
T001,M01AB,2014-09-12,2.68
T001,M01AB,2014-09-13,3.0
T001,M01AB,2014-09-14,1.34
T001,M01AB,2014-09-15,1.34
T001,M01AB,2014-09-16,4.0
T001,M01AB,2014-09-17,2.34
T001,M01AB,2014-09-18,3.0
T001,M01AB,2014-09-19,2.0
T001,M01AB,2014-09-20,4.34
T001,M01AB,2014-09-21,1.0
T001,M01AB,2014-09-22,3.34
T001,M01AB,2014-09-23,3.0
T001,M01AB,2014-09-24,6.0
T001,M01AB,2014-09-25,4.68
T001,M01AB,2014-09-26,4.0
T001,M01AB,2014-09-27,4.0
T001,M01AB,2014-09-28,0.34
T001,M01AB,2014-09-29,7.0
T001,M01AB,2014-09-30,10.0
T001,M01AB,2014-10-01,2.34
T001,M01AB,2014-10-02,2.0
T001,M01AB,2014-10-03,4.33
T001,M01AB,2014-10-04,4.68
T001,M01AB,2014-10-05,2.0
T001,M01AB,2014-10-06,5.34
T001,M01AB,2014-10-07,3.0
T001,M01AB,2014-10-08,3.68
T001,M01AB,2014-10-09,1.0
T001,M01AB,2014-10-10,4.34
T001,M01AB,2014-10-11,3.34
T001,M01AB,2014-10-12,3.0
T001,M01AB,2014-10-13,1.68
T001,M01AB,2014-10-14,3.0
T001,M01AB,2014-10-15,1.33
T001,M01AB,2014-10-16,6.775
T001,M01AB,2014-10-17,3.0
T001,M01AB,2014-10-18,4.0
T001,M01AB,2014-10-19,3.33
T001,M01AB,2014-10-20,3.34
T001,M01AB,2014-10-21,2.34
T001,M01AB,2014-10-22,3.33
T001,M01AB,2014-10-23,1.34
T001,M01AB,2014-10-24,3.67
T001,M01AB,2014-10-25,2.33
T001,M01AB,2014-10-26,3.34
T001,M01AB,2014-10-27,8.34
T001,M01AB,2014-10-28,4.0
T001,M01AB,2014-10-29,5.0
T001,M01AB,2014-10-30,0.0
T001,M01AB,2014-10-31,2.0
T001,M01AB,2014-11-01,2.33
T001,M01AB,2014-11-02,4.0
T001,M01AB,2014-11-03,7.0
T001,M01AB,2014-11-04,6.33
T001,M01AB,2014-11-05,0.0
T001,M01AB,2014-11-06,6.0
T001,M01AB,2014-11-07,6.0
T001,M01AB,2014-11-08,12.0
T001,M01AB,2014-11-09,3.34
T001,M01AB,2014-11-10,1.0
T001,M01AB,2014-11-11,8.0
T001,M01AB,2014-11-12,3.0
T001,M01AB,2014-11-13,8.0
T001,M01AB,2014-11-14,5.34
T001,M01AB,2014-11-15,4.33
T001,M01AB,2014-11-16,2.0
T001,M01AB,2014-11-17,9.0
T001,M01AB,2014-11-18,2.67
T001,M01AB,2014-11-19,1.34
T001,M01AB,2014-11-20,4.0
T001,M01AB,2014-11-21,1.34
T001,M01AB,2014-11-22,6.0
T001,M01AB,2014-11-23,4.0
T001,M01AB,2014-11-24,4.0
T001,M01AB,2014-11-25,5.36
T001,M01AB,2014-11-26,3.0
T001,M01AB,2014-11-27,7.0
T001,M01AB,2014-11-28,3.02
T001,M01AB,2014-11-29,3.0
T001,M01AB,2014-11-30,5.68
T001,M01AB,2014-12-01,4.34
T001,M01AB,2014-12-02,6.99
T001,M01AB,2014-12-03,4.0
T001,M01AB,2014-12-04,3.0
T001,M01AB,2014-12-05,2.02
T001,M01AB,2014-12-06,3.34
T001,M01AB,2014-12-07,5.0
T001,M01AB,2014-12-08,1.0
T001,M01AB,2014-12-09,1.0
T001,M01AB,2014-12-10,3.34
T001,M01AB,2014-12-11,2.34
T001,M01AB,2014-12-12,6.34
T001,M01AB,2014-12-13,1.0
T001,M01AB,2014-12-14,10.0
T001,M01AB,2014-12-15,5.34
T001,M01AB,2014-12-16,6.34
T001,M01AB,2014-12-17,3.0
T001,M01AB,2014-12-18,5.0
T001,M01AB,2014-12-19,0.0
T001,M01AB,2014-12-20,1.0
T001,M01AB,2014-12-21,4.33
T001,M01AB,2014-12-22,3.34
T001,M01AB,2014-12-23,10.5
T001,M01AB,2014-12-24,1.0
T001,M01AB,2014-12-25,8.34
T001,M01AB,2014-12-26,3.33
T001,M01AB,2014-12-27,7.33
T001,M01AB,2014-12-28,2.34
T001,M01AB,2014-12-29,2.33
T001,M01AB,2014-12-30,9.0
T001,M01AB,2014-12-31,5.67
T001,M01AB,2015-01-01,0.0
T001,M01AB,2015-01-02,6.0
T001,M01AB,2015-01-03,9.0
T001,M01AB,2015-01-04,4.68
T001,M01AB,2015-01-05,2.34
T001,M01AB,2015-01-06,3.0
T001,M01AB,2015-01-07,0.0
T001,M01AB,2015-01-08,2.0
T001,M01AB,2015-01-09,3.0
T001,M01AB,2015-01-10,6.0
T001,M01AB,2015-01-11,3.0
T001,M01AB,2015-01-12,2.33
T001,M01AB,2015-01-13,10.34
T001,M01AB,2015-01-14,3.0
T001,M01AB,2015-01-15,6.67
T001,M01AB,2015-01-16,6.33
T001,M01AB,2015-01-17,6.68
T001,M01AB,2015-01-18,4.0
T001,M01AB,2015-01-19,5.34
T001,M01AB,2015-01-20,4.34
T001,M01AB,2015-01-21,4.0
T001,M01AB,2015-01-22,4.0
T001,M01AB,2015-01-23,3.67
T001,M01AB,2015-01-24,4.34
T001,M01AB,2015-01-25,4.0
T001,M01AB,2015-01-26,8.5
T001,M01AB,2015-01-27,2.67
T001,M01AB,2015-01-28,3.0
T001,M01AB,2015-01-29,4.34
T001,M01AB,2015-01-30,1.0
T001,M01AB,2015-01-31,8.34
T001,M01AB,2015-02-01,4.34
T001,M01AB,2015-02-02,6.0
T001,M01AB,2015-02-03,3.33
T001,M01AB,2015-02-04,2.34
T001,M01AB,2015-02-05,2.0
T001,M01AB,2015-02-06,3.33
T001,M01AB,2015-02-07,2.0
T001,M01AB,2015-02-08,1.34
T001,M01AB,2015-02-09,3.33
T001,M01AB,2015-02-10,3.66
T001,M01AB,2015-02-11,3.0
T001,M01AB,2015-02-12,3.0
T001,M01AB,2015-02-13,6.01
T001,M01AB,2015-02-14,4.33
T001,M01AB,2015-02-15,11.68
T001,M01AB,2015-02-16,3.01
T001,M01AB,2015-02-17,5.33
T001,M01AB,2015-02-18,1.0
T001,M01AB,2015-02-19,2.0
T001,M01AB,2015-02-20,5.33
T001,M01AB,2015-02-21,3.0
T001,M01AB,2015-02-22,2.0
T001,M01AB,2015-02-23,5.0
T001,M01AB,2015-02-24,3.68
T001,M01AB,2015-02-25,7.0
T001,M01AB,2015-02-26,6.0
T001,M01AB,2015-02-27,6.33
T001,M01AB,2015-02-28,6.34
T001,M01AB,2015-03-01,9.0
T001,M01AB,2015-03-02,6.67
T001,M01AB,2015-03-03,8.0
T001,M01AB,2015-03-04,9.68
T001,M01AB,2015-03-05,6.0
T001,M01AB,2015-03-06,2.0
T001,M01AB,2015-03-07,3.33
T001,M01AB,2015-03-08,6.0
T001,M01AB,2015-03-09,2.0
T001,M01AB,2015-03-10,1.34
T001,M01AB,2015-03-11,11.0
T001,M01AB,2015-03-12,2.68
T001,M01AB,2015-03-13,4.0
T001,M01AB,2015-03-14,2.66
T001,M01AB,2015-03-15,3.34
T001,M01AB,2015-03-16,8.0
T001,M01AB,2015-03-17,5.0
T001,M01AB,2015-03-18,7.33
T001,M01AB,2015-03-19,2.0
T001,M01AB,2015-03-20,1.0
T001,M01AB,2015-03-21,10.33
T001,M01AB,2015-03-22,8.34
T001,M01AB,2015-03-23,2.0
T001,M01AB,2015-03-24,4.0
T001,M01AB,2015-03-25,3.68
T001,M01AB,2015-03-26,5.0
T001,M01AB,2015-03-27,3.0
T001,M01AB,2015-03-28,1.33
T001,M01AB,2015-03-29,6.0
T001,M01AB,2015-03-30,6.33
T001,M01AB,2015-03-31,5.0
T001,M01AB,2015-04-01,6.34
T001,M01AB,2015-04-02,5.0
T001,M01AB,2015-04-03,5.33
T001,M01AB,2015-04-04,3.67
T001,M01AB,2015-04-05,3.34
T001,M01AB,2015-04-06,7.33
T001,M01AB,2015-04-07,6.0
T001,M01AB,2015-04-08,4.0
T001,M01AB,2015-04-09,1.33
T001,M01AB,2015-04-10,9.84
T001,M01AB,2015-04-11,11.68
T001,M01AB,2015-04-12,0.0
T001,M01AB,2015-04-13,6.67
T001,M01AB,2015-04-14,4.66
T001,M01AB,2015-04-15,2.0
T001,M01AB,2015-04-16,2.34
T001,M01AB,2015-04-17,9.33
T001,M01AB,2015-04-18,7.33
T001,M01AB,2015-04-19,9.32
T001,M01AB,2015-04-20,3.0
T001,M01AB,2015-04-21,6.33
T001,M01AB,2015-04-22,1.33
T001,M01AB,2015-04-23,4.0
T001,M01AB,2015-04-24,10.0
T001,M01AB,2015-04-25,5.0
T001,M01AB,2015-04-26,7.0
T001,M01AB,2015-04-27,3.0
T001,M01AB,2015-04-28,4.33
T001,M01AB,2015-04-29,2.0
T001,M01AB,2015-04-30,3.0
T001,M01AB,2015-05-01,5.34
T001,M01AB,2015-05-02,5.0
T001,M01AB,2015-05-03,6.67
T001,M01AB,2015-05-04,4.0
T001,M01AB,2015-05-05,3.34
T001,M01AB,2015-05-06,4.66
T001,M01AB,2015-05-07,2.0
T001,M01AB,2015-05-08,1.0
T001,M01AB,2015-05-09,3.66
T001,M01AB,2015-05-10,3.34
T001,M01AB,2015-05-11,3.33
T001,M01AB,2015-05-12,7.33
T001,M01AB,2015-05-13,8.0
T001,M01AB,2015-05-14,3.0
T001,M01AB,2015-05-15,3.34
T001,M01AB,2015-05-16,5.0
T001,M01AB,2015-05-17,5.0
T001,M01AB,2015-05-18,7.0
T001,M01AB,2015-05-19,3.0
T001,M01AB,2015-05-20,5.67
T001,M01AB,2015-05-21,6.0
T001,M01AB,2015-05-22,3.0
T001,M01AB,2015-05-23,5.68
T001,M01AB,2015-05-24,5.33
T001,M01AB,2015-05-25,9.66
T001,M01AB,2015-05-26,7.34
T001,M01AB,2015-05-27,4.0
T001,M01AB,2015-05-28,6.0
T001,M01AB,2015-05-29,6.33
T001,M01AB,2015-05-30,14.0
T001,M01AB,2015-05-31,3.0
T001,M01AB,2015-06-01,4.66
T001,M01AB,2015-06-02,8.33
T001,M01AB,2015-06-03,5.0
T001,M01AB,2015-06-04,2.33
T001,M01AB,2015-06-05,5.0
T001,M01AB,2015-06-06,3.68
T001,M01AB,2015-06-07,6.34
T001,M01AB,2015-06-08,6.0
T001,M01AB,2015-06-09,3.0
T001,M01AB,2015-06-10,4.34
T001,M01AB,2015-06-11,6.0
T001,M01AB,2015-06-12,1.67
T001,M01AB,2015-06-13,2.33
T001,M01AB,2015-06-14,5.0
T001,M01AB,2015-06-15,4.0
T001,M01AB,2015-06-16,7.0
T001,M01AB,2015-06-17,3.66
T001,M01AB,2015-06-18,3.0
T001,M01AB,2015-06-19,5.33
T001,M01AB,2015-06-20,9.34
T001,M01AB,2015-06-21,9.34
T001,M01AB,2015-06-22,5.17
T001,M01AB,2015-06-23,4.67
T001,M01AB,2015-06-24,3.83
T001,M01AB,2015-06-25,6.33
T001,M01AB,2015-06-26,7.17
T001,M01AB,2015-06-27,7.33
T001,M01AB,2015-06-28,5.34
T001,M01AB,2015-06-29,5.68
T001,M01AB,2015-06-30,1.0
T001,M01AB,2015-07-01,8.83
T001,M01AB,2015-07-02,3.0
T001,M01AB,2015-07-03,5.5
T001,M01AB,2015-07-04,7.35
T001,M01AB,2015-07-05,5.0
T001,M01AB,2015-07-06,5.5
T001,M01AB,2015-07-07,4.84
T001,M01AB,2015-07-08,2.0
T001,M01AB,2015-07-09,2.34
T001,M01AB,2015-07-10,5.5
T001,M01AB,2015-07-11,4.0
T001,M01AB,2015-07-12,6.33
T001,M01AB,2015-07-13,3.68
T001,M01AB,2015-07-14,0.34
T001,M01AB,2015-07-15,8.49
T001,M01AB,2015-07-16,8.34
T001,M01AB,2015-07-17,2.5
T001,M01AB,2015-07-18,3.68
T001,M01AB,2015-07-19,11.68
T001,M01AB,2015-07-20,5.84
T001,M01AB,2015-07-21,4.68
T001,M01AB,2015-07-22,9.33
T001,M01AB,2015-07-23,1.5
T001,M01AB,2015-07-24,6.0
T001,M01AB,2015-07-25,4.0
T001,M01AB,2015-07-26,5.0
T001,M01AB,2015-07-27,7.34
T001,M01AB,2015-07-28,14.18
T001,M01AB,2015-07-29,10.34
T001,M01AB,2015-07-30,3.0
T001,M01AB,2015-07-31,5.5
T001,M01AB,2015-08-01,5.0
T001,M01AB,2015-08-02,5.0
T001,M01AB,2015-08-03,1.5
T001,M01AB,2015-08-04,6.34
T001,M01AB,2015-08-05,5.0
T001,M01AB,2015-08-06,5.33
T001,M01AB,2015-08-07,4.33
T001,M01AB,2015-08-08,6.33
T001,M01AB,2015-08-09,5.0
T001,M01AB,2015-08-10,3.67
T001,M01AB,2015-08-11,12.33
T001,M01AB,2015-08-12,8.67
T001,M01AB,2015-08-13,8.0
T001,M01AB,2015-08-14,3.0
T001,M01AB,2015-08-15,3.34
T001,M01AB,2015-08-16,2.0
T001,M01AB,2015-08-17,8.0
T001,M01AB,2015-08-18,6.01
T001,M01AB,2015-08-19,6.33
T001,M01AB,2015-08-20,3.5
T001,M01AB,2015-08-21,6.0
T001,M01AB,2015-08-22,2.34
T001,M01AB,2015-08-23,8.99
T001,M01AB,2015-08-24,8.5
T001,M01AB,2015-08-25,2.34
T001,M01AB,2015-08-26,2.67
T001,M01AB,2015-08-27,9.33
T001,M01AB,2015-08-28,7.0
T001,M01AB,2015-08-29,10.84
T001,M01AB,2015-08-30,11.0
T001,M01AB,2015-08-31,4.0
T001,M01AB,2015-09-01,8.18
T001,M01AB,2015-09-02,5.33
T001,M01AB,2015-09-03,1.34
T001,M01AB,2015-09-04,3.34
T001,M01AB,2015-09-05,8.83
T001,M01AB,2015-09-06,8.33
T001,M01AB,2015-09-07,4.34
T001,M01AB,2015-09-08,2.67
T001,M01AB,2015-09-09,2.0
T001,M01AB,2015-09-10,6.0
T001,M01AB,2015-09-11,11.33
T001,M01AB,2015-09-12,4.66
T001,M01AB,2015-09-13,7.33
T001,M01AB,2015-09-14,4.68
T001,M01AB,2015-09-15,3.33
T001,M01AB,2015-09-16,0.67
T001,M01AB,2015-09-17,9.83
T001,M01AB,2015-09-18,3.34
T001,M01AB,2015-09-19,6.83
T001,M01AB,2015-09-20,9.99
T001,M01AB,2015-09-21,2.0
T001,M01AB,2015-09-22,6.99
T001,M01AB,2015-09-23,6.16
T001,M01AB,2015-09-24,2.99
T001,M01AB,2015-09-25,4.83
T001,M01AB,2015-09-26,12.42
T001,M01AB,2015-09-27,5.83
T001,M01AB,2015-09-28,1.0
T001,M01AB,2015-09-29,6.33
T001,M01AB,2015-09-30,5.32
T001,M01AB,2015-10-01,9.66
T001,M01AB,2015-10-02,5.0
T001,M01AB,2015-10-03,10.34
T001,M01AB,2015-10-04,7.0
T001,M01AB,2015-10-05,5.0
T001,M01AB,2015-10-06,5.69
T001,M01AB,2015-10-07,7.33
T001,M01AB,2015-10-08,8.82
T001,M01AB,2015-10-09,2.0
T001,M01AB,2015-10-10,6.16
T001,M01AB,2015-10-11,10.33
T001,M01AB,2015-10-12,9.66
T001,M01AB,2015-10-13,3.83
T001,M01AB,2015-10-14,4.66
T001,M01AB,2015-10-15,5.16
T001,M01AB,2015-10-16,1.67
T001,M01AB,2015-10-17,10.34
T001,M01AB,2015-10-18,7.34
T001,M01AB,2015-10-19,12.0
T001,M01AB,2015-10-20,3.34
T001,M01AB,2015-10-21,8.66
T001,M01AB,2015-10-22,4.33
T001,M01AB,2015-10-23,7.0
T001,M01AB,2015-10-24,9.84
T001,M01AB,2015-10-25,3.0
T001,M01AB,2015-10-26,9.0
T001,M01AB,2015-10-27,4.33
T001,M01AB,2015-10-28,1.0
T001,M01AB,2015-10-29,2.33
T001,M01AB,2015-10-30,5.33
T001,M01AB,2015-10-31,5.66
T001,M01AB,2015-11-01,2.33
T001,M01AB,2015-11-02,4.66
T001,M01AB,2015-11-03,1.34
T001,M01AB,2015-11-04,8.5
T001,M01AB,2015-11-05,4.33
T001,M01AB,2015-11-06,3.33
T001,M01AB,2015-11-07,4.0
T001,M01AB,2015-11-08,6.33
T001,M01AB,2015-11-09,3.66
T001,M01AB,2015-11-10,6.33
T001,M01AB,2015-11-11,9.66
T001,M01AB,2015-11-12,6.0
T001,M01AB,2015-11-13,5.0
T001,M01AB,2015-11-14,4.99
T001,M01AB,2015-11-15,1.33
T001,M01AB,2015-11-16,5.67
T001,M01AB,2015-11-17,6.34
T001,M01AB,2015-11-18,6.34
T001,M01AB,2015-11-19,2.0
T001,M01AB,2015-11-20,5.66
T001,M01AB,2015-11-21,4.0
T001,M01AB,2015-11-22,2.0
T001,M01AB,2015-11-23,3.0
T001,M01AB,2015-11-24,5.0
T001,M01AB,2015-11-25,5.66
T001,M01AB,2015-11-26,4.33
T001,M01AB,2015-11-27,0.67
T001,M01AB,2015-11-28,6.33
T001,M01AB,2015-11-29,6.66
T001,M01AB,2015-11-30,7.33
T001,M01AB,2015-12-01,1.99
T001,M01AB,2015-12-02,1.0
T001,M01AB,2015-12-03,4.0
T001,M01AB,2015-12-04,3.33
T001,M01AB,2015-12-05,8.0
T001,M01AB,2015-12-06,5.67
T001,M01AB,2015-12-07,3.0
T001,M01AB,2015-12-08,2.0
T001,M01AB,2015-12-09,3.34
T001,M01AB,2015-12-10,11.66
T001,M01AB,2015-12-11,5.84
T001,M01AB,2015-12-12,6.34
T001,M01AB,2015-12-13,9.33
T001,M01AB,2015-12-14,5.0
T001,M01AB,2015-12-15,4.99
T001,M01AB,2015-12-16,6.67
T001,M01AB,2015-12-17,9.0
T001,M01AB,2015-12-18,4.33
T001,M01AB,2015-12-19,0.0
T001,M01AB,2015-12-20,3.0
T001,M01AB,2015-12-21,5.0
T001,M01AB,2015-12-22,5.66
T001,M01AB,2015-12-23,3.33
T001,M01AB,2015-12-24,7.33
T001,M01AB,2015-12-25,0.66
T001,M01AB,2015-12-26,4.67
T001,M01AB,2015-12-27,5.33
T001,M01AB,2015-12-28,4.0
T001,M01AB,2015-12-29,10.67
T001,M01AB,2015-12-30,6.66
T001,M01AB,2015-12-31,7.66
T001,M01AB,2016-01-01,0.0
T001,M01AB,2016-01-02,0.34
T001,M01AB,2016-01-03,4.0
T001,M01AB,2016-01-04,7.33
T001,M01AB,2016-01-05,5.33
